Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
gallstones (cholelithiasis),,"gallstones |
cholelithiasis",gallstones,cholelithiasis,,,,gallstone(s),cholangitis,cholecystitis,,,,,gallstones (cholelithiasis),,,,,,8968,Digestive,7315,cholelithiasis (gallstones),DBQ GI Gallbladder & Pancreas,no,Active,Active,v1.0,,,,,,
gamekeeper's thumb,"left, right, bilateral",gamekeepers thumb,,,,,,,,,,,,,"gamekeeper's thumb, right","gamekeeper's thumb, left","gamekeeper's thumb, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,v1.3,,,v1.3 added synonym
ganglion cyst in hand or fingers,"left, right, bilateral","ganglion cyst in hand |
ganglion cyst in fingers",ganglion cyst in hand,ganglion cyst in fingers,,,,,,,,,,,"ganglion cyst in hand or fingers, right","ganglion cyst in hand or fingers, left","ganglion cyst in hand or fingers, bilateral",,,,8955,Cyst/Benign Growth - Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
ganglion cyst in wrist,"left, right, bilateral",,,,,,,,,,,,,,"ganglion cyst in wrist, right","ganglion cyst in wrist, left","ganglion cyst in wrist, bilateral",,,,8962,Cyst/Benign Growth - Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
gastritis,,,,,,,,,,,,,,,,,,,,,8968,Digestive,7307,chronic gastritis,DBQ GI Intestinal (other than surgical or infectious),no,Active,Active,v0.1,v1.0,v1.3,,,,v1.3 Term reactivated
gastroenteritis,,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
Genitourinary,,,,,,,,non-specific genitourinary complaints,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,v1.0,,,,,
GERD (gastroesophageal reflux disease),,"GERD |
gastroesophageal reflux disease |
acid reflux",GERD,gastroesophageal reflux disease,,,,GERD,,,,,,,GERD (gastroesophageal reflux disease),,,,,,8968,Digestive,7346,hiatal hernia,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,v1.3,,,"v1.3 Added synonym ""acid reflux"""
glaucoma,"left, right, bilateral",,,,,,,,,,,,,,"glaucoma, right","glaucoma, left","glaucoma, bilateral",,,,8974,Eye (Vision),6013,open-angle glaucoma,DBQ OPHTH Eyes,no,Active,Active,v1.0,,v1.2,,v1.2 added laterality,,
golfer's elbow (medial epicondylitis),"left, right, bilateral","golfer's elbow |
golfers elbow |
medial epicondylitis",golfer's elbow,medial epicondylitis,,,,,,,,,,,"golfer's elbow (medial epicondylitis), right","golfer's elbow (medial epicondylitis), left","golfer's elbow (medial epicondylitis), bilateral",,,,8993,Musculoskeletal - Elbow,Multiple,Elbow and Forearm DC Group,DBQ MUSC Elbow and forearm,no,Active,Active,v1.0,,,v1.3,,,"v1.3 Added synonym ""golfers elbow"""
gonococcal arthritis,,,,,,,,,,,,,,,gonococcal arthritis,,,,,,8992,Musculoskeletal - Arthritis,5004,gonococcal arthritis,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,
gout in foot,"left, right, bilateral",gout in feet,,,,,,gout,,,,,,,"gout in foot, right","gout in foot, left","gout in foot, bilateral",,,,8994,Musculoskeletal - Foot,Multiple,Foot DC Group,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,v1.3,,,"v1.3 Added synonym ""gout in feet"""
gout in wrist,"left, right, bilateral",,,,,,,,,,,,,,"gout in wrist, right","gout in wrist, left","gout in wrist, bilateral",,,,9004,Musculoskeletal - Wrist,Multiple,Wrist DC Group,DBQ MUSC Wrist,no,Active,Active,v1.0,,,,,,
granulomatous disease,,,,,,,,,,,,,,,granulomatous disease,,,,,,9012,Respiratory,Multiple,Granuloma Group,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.1,,,,,,
granulomatous rhinitis,,,,,,,,,,,,,,,granulomatous rhinitis,,,,,,9012,Respiratory,6524,Rhinitis DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.3,,,,,,
greater trochanteric pain syndrome (lateral hip pain),"left, right, bilateral","greater trochanteric pain syndrome |
lateral hip pain",greater trochanteric pain syndrome,lateral hip pain,,,,,,,,,,,"greater trochanteric pain syndrome (lateral hip pain), right","greater trochanteric pain syndrome (lateral hip pain), left","greater trochanteric pain syndrome (lateral hip pain), bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
Gulf War Undiagnosed Illness,,,,,,,,undiagnosed illness as a Gulf War veteran,,,,,,,,,,,,,8977,Gulf War Undiagnosed Illness,,,,,Inactive,Active,v0.1,v1.0,,,,,
Gulf War Unexplained Chronic Multi-Symptom Illness,,,,,,,,,,,,,,,,,,,,,8976,Gulf War Unexplained Chronic Multi-Symptom Illness,,,,,Inactive,Active,v0.1,v1.0,,,,,
Gynecological,,,,,,,,"ovary (disease, injury, or adhesions of)","uterus (disease, injury, or adhesions of)",,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
hallux rigidus (big toe arthritis),"left, right, bilateral","hallux rigidus |
big toe arthritis",hallux rigidus,big toe arthritis,,,,,,,,,,,"hallux rigidus (big toe arthritis), right","hallux rigidus (big toe arthritis), left","hallux rigidus (big toe arthritis), bilateral",,,,8994,Musculoskeletal - Foot,5281,hallux rigidus - foot,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
hammer toe,"left, right, bilateral",,,,,,,,,,,,,,"hammer toe, right","hammer toe, left","hammer toe, bilateral",,,,8994,Musculoskeletal - Foot,5282,hammer toe,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
Hansen's disease (leprosy),,"leprosy |
Hansen's disease",leprosy,Hansen's disease,,,,Hansen's disease,leprosy,,,,,,Hansen's disease (leprosy),,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6302,leprosy (Hansen's disease),"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,
hearing loss,,,,,,,,"hearing loss, other than tinnitus","hearing loss, sensorineural",,,,,,hearing loss,,,,,,3140,Hearing Loss,6100,"hearing loss, other than tinnitus",DBQ AUDIO Hearing Loss and Tinnitus,no,Active,Active,v1.0,,v1.2,,"Replaced ""hearing loss, other than tinnitus"" with this term, based on VBA request to remove terms with ""other than""",,
heart attack (myocardial infarction),,"myocardial infarction |
heart attack",myocardial infarction,heart attack,,,,,,,,,,,heart attack (myocardial infarction),,,,,,8971,Embolism/Infarction - Heart/Veins/Arteries,7006,myocardial infarction (heart attack),DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
heart bypass surgery (coronary artery bypass graft),,"heart bypass surgery |
coronary artery bypass graft",heart bypass surgery,coronary artery bypass graft,,,,coronary artery bypass,,,,,,,heart bypass surgery (coronary artery bypass graft),,,,,,8979,Heart/Veins/Arteries,7017,coronary bypass surgery,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
heart condition,,,,,,,,heart disease,heart failure,myocarditis,pericarditis,endocarditis,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Heart/Veins/Arteries,,,,,,,,coronary,coronary accident,valvular heart disease,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
helminthiasis,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
Helpless Child,,,,,,,,,,,,,,,,,,,,,8980,Helpless Child,,,,,Inactive,Active,v0.1,v1.0,,,,,
Hemic and Lymphatic,,,,,,,,,,,,,,,,,,,,,8981,Hemic and Lymphatic,,,,,Inactive,Active,v0.1,v1.0,,,,,
Hemorrhage - Eye (Vision),,"Hemorrhage Eye |
Hemorrhage Vision",Hemorrhage Eye,Hemorrhage Vision,,,,,,,,,,,,,,,,,8982,Hemorrhage - Eye (Vision),8982,,,,Inactive,Active,v0.1,v1.0,,,,,
Hemorrhage - Neurological other System,,,,,,,,,,,,,,,,,,,,,8983,Hemorrhage - Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
hemorrhoids,,,,,,,,,,,,,,,hemorrhoids,,,,,,8968,Digestive,7336,hemorrhoids,DBQ GI Rectum & Anus,no,Active,Active,v1.0,,,,,,
hepatitis B,,,,,,,,,,,,,,,hepatitis B,,,,,,8968,Digestive,7345,"chronic liver disease, without cirrhosis",DBQ GI Liver Conditions,no,Active,Active,v1.0,,,,,,
hepatitis C,,,,,,,,,,,,,,,hepatitis C,,,,,,8968,Digestive,7354,hepatitis C,DBQ GI Liver Conditions,no,Active,Active,v1.0,,,,,,
Herpes - Eye (Vision),,"herpes eye |
herpes vision",herpes eye,herpes vision,,,,,,,,,,,,,,,,,8974,Eye (Vision),,,,,Inactive,Active,v0.1,v1.0,,,,,
herpes (herpes simplex virus or HSV),,"herpes |
herpes simplex virus |
herpes simplex virus HSV |
HSV",herpes,herpes simplex virus,herpes simplex virus HSV,HSV,,,,,,,,,herpes (herpes simplex virus or HSV),,,,,,9016,Skin,7806,eczema,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
hiatal hernia,,,,,,,,"hernia, hiatal",,,,,,,hiatal hernia,,,,,,8968,Digestive,7346,hiatal hernia,DBQ GI Esophageal Disorders,no,Active,Active,v1.0,,,,,,
hip impingement (femoroacetabular impingement or FAI),"left, right, bilateral","hip impingement |
femoroacetabular impingement |
FAI",hip impingement,femoroacetabular impingement,FAI,,,,,,,,,,"hip impingement (femoroacetabular impingement or FAI), right","hip impingement (femoroacetabular impingement or FAI), left","hip impingement (femoroacetabular impingement or FAI), bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
"hip pain or limited motion, diagnosis unknown","left, right, bilateral","hip pain |
hip strain |
limited motion in hip",,,,,,,,,,,,,"hip pain or limited motion, diagnosis unknown, left","hip pain or limited motion, diagnosis unknown, right","hip pain or limited motion, diagnosis unknown, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.3,,,,,,
hip replacement (hip arthroplasty),"left, right, bilateral","hip replacement |
hip arthroplasty |
hip, resurfacing or replacement (prosthesis) |
hip surgery",hip replacement,hip arthroplasty,"hip, resurfacing or replacement (prosthesis)",hip surgery,,hip replacement,,,,,,,"hip replacement (hip arthroplasty), right","hip replacement (hip arthroplasty), left","hip replacement (hip arthroplasty), bilateral",,,,8996,Musculoskeletal - Hip,5054,hip replacement,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,v1.2,,,
hip sprain,"left, right, bilateral",,,,,,,,,,,,,,"hip sprain, right","hip sprain, left","hip sprain, bilateral",,,,8996,Musculoskeletal - Hip,Multiple,Hip and Thigh DC Group,DBQ MUSC Hip and thigh,no,Active,Active,v1.0,,,,,,
HIV-related illness,,,,,,,,HIV,AIDS,human immunodeficiency virus,,,,,HIV-related illness,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6351,HIV-related illness,DBQ INFECT HIV-Related Illnesses,no,Active,Active,v1.0,,,,,,
Hodgkin lymphoma,,"Hodgkin's lymphoma |
Hodgkins lymphoma",Hodgkin's lymphoma,,,,,Hodgkin's disease,lymphogranulomatosis,,,,,,Hodgkin lymphoma,,,,,,8939,Cancer - Hemic and Lymphatic,7709,Hodgkin's disease,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,v1.2,,,
hydrocele,,,,,,,,,,,,,,,"hydrocele, right",,,,,,8975,Genitourinary,7543,varicocele/Hydrocele,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,
hyperhidrosis (excessive sweating),,"hyperhidrosis |
excessive sweating",hyperhidrosis,excessive sweating,,,,,,,,,,,hyperhidrosis (excessive sweating),,,,,,9016,Skin,7832,hyperhidrosis,DBQ DERM Skin Diseases,no,Active,Active,v1.0,,,,,,
hypertension (high blood pressure),,"hypertension |
high blood pressure",hypertension,high blood pressure,,,,high blood pressure,hypertension,hypertensive vascular disease,,,,,hypertension (high blood pressure),,,,,,8979,Heart/Veins/Arteries,7101,hypertensive vascular disease,DBQ CARDIO Hypertension,no,Active,Active,v1.0,,,v1.2,,,
hyperthyroidism (overactive thyroid),,"hyperthyroidism |
overactive thyroid",hyperthyroidism,overactive thyroid,,,,hyperthyroidism,,,,,,,hyperthyroidism (overactive thyroid),,,,,,8973,Endocrine,7900,hyperthyroidism,DBQ ENDO Thyroid & Parathyroid,no,Active,Active,v1.0,,,,,,
