Main condition/term,Location options,All synonyms,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Additional synonyms,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term removed,Term updated,Synonyms updated,Autosuggestion updated,Classification updated,Current Notes
kidney transplant,,,,,,,,,,,,,,,kidney transplant,,,,,,8975,Genitourinary,7531,kidney transplant,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,
knee hyperextension (genu recurvatum),"left, right, bilateral","knee hyperextension |
genu recurvatum",knee hyperextension,genu recurvatum,,,,,,,,,,,"knee hyperextension (genu recurvatum), right","knee hyperextension (genu recurvatum), left","knee hyperextension (genu recurvatum), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
knee instability,"left, right, bilateral",,,,,,,,,,,,,,"knee instability, right","knee instability, left","knee instability, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
knee or patellar dislocation,"left, right, bilateral","knee dislocation |
patellar dislocation",knee dislocation,patellar dislocation,,,,,,,,,,,"knee or patellar dislocation, right","knee or patellar dislocation, left","knee or patellar dislocation, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
knee or patellar fracture,"left, right, bilateral","knee fracture |
patellar fracture",knee fracture,patellar fracture,,,,,,,,,,,"knee or patellar fracture, right","knee or patellar fracture, left","knee or patellar fracture, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
"knee pain or stiffness, diagnosis unknown","left, right, bilateral","knee pain |
knee stiffness",,,,,,,,,,,,,"knee pain or stiffness, diagnosis unknown, left","knee pain or stiffness, diagnosis unknown, right","knee pain or stiffness, diagnosis unknown, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.3,,,,,,
knee replacement (knee arthroplasty),"left, right, bilateral","knee replacement |
knee arthroplasty |
Knee, resurfacing or replacement (prosthesis)",knee replacement,knee arthroplasty,"Knee, resurfacing or replacement (prosthesis)",,,knee replacement,,,,,,,"knee replacement (knee arthroplasty), right","knee replacement (knee arthroplasty), left","knee replacement (knee arthroplasty), bilateral",,,,8997,Musculoskeletal - Knee,5055,knee replacement,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,v1.2,,,
knee strain or sprain,"left, right, bilateral","knee strain |
knee sprain",knee strain,knee sprain,,,,knee sprain,knee strain,,,,,,"knee strain or sprain, right","knee strain or sprain, left","knee strain or sprain, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
labyrinthitis (inner ear inflammation),"left, right, bilateral","labyrinthitis |
inner ear inflammation",labyrinthitis,inner ear inflammation,,,,labyrinthitis,labyrinthitis (type of inner ear infection),,,,,,"labyrinthitis (inner ear inflammation), right","labyrinthitis (inner ear inflammation), left","labyrinthitis (inner ear inflammation), bilateral",,,,8969,Ear Disease and Other Sense Organs,6204,labyrinthitis,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,v1.2,,v1.2 Replaced with labryinthitis (innear ear inflammation),,
laryngeal cancer (cancer of larynx),,"laryngeal cancer |
cancer of larynx",laryngeal cancer,cancer of larynx,,,,cancer - larynx,,,,,,,laryngeal cancer (cancer of larynx),,,,,,1230,Cancer - Respiratory,6819,malignant growths of the respiratory system,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,
laryngectomy,,,,,,,,,,,,,,,,,,,,,9012,Respiratory,,,,,Inactive,Active,v0.1,v1.0,,,,,
Leg Condition - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,,,8987,Leg Condition - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
Leg Condition - Neurological other System,,,,,,,,,,,,,,,,,,,,,8988,Leg Condition - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,v1.0,,,,,
leukemia,,,,,,,,acute nonlymphocytic leukemia,chronic lymphocytic leukemia,leukosarcoma,,,,,leukemia,,,,,,8939,Cancer - Hemic and Lymphatic,7703,leukemia,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,
"liver cancer, including hepatocellular carcinoma (HCC)",,"liver cancer |
hepatocellular carcinoma |
HCC",liver cancer,hepatocellular carcinoma,HCC,,,cancer - liver,cancer - bile ducts,hepatocarcinoma,hepatoma,,,,"liver cancer, including hepatocellular carcinoma (HCC)",,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Liver Conditions,yes,Active,Active,v1.0,,,,,,
loiasis,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
loose teeth,,,,,,,,,,,,,,,,,,,,,8967,Dental and Oral,,,,,Inactive,Active,v0.1,v1.0,,,,,
loss of both eyes,,,,,,,,,,,,,,,loss of both eyes,,,,,,8974,Eye (Vision),6061,anatomical loss both eyes,DBQ OPHTH Eyes,no,Active,Active,v1.0,,,,,,
loss of teeth due to bone loss,,,,,,,,,,,,,,,loss of teeth due to bone loss,,,,,,8967,Dental and Oral,9913,loss of teeth,DBQ DENTAL Oral and Dental,no,Active,Active,v1.0,,,,,,
"lower back pain or stiffness, diagnosis unknown",,lower back pain,,,,,,,,,,,,,"lower back pain or stiffness, diagnosis unknown",,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),Multiple,musculoskeletal: spine group,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.3,,,,,,
lower back sprain (lumbosacral sprain),,"lower back sprain |
lumbosacral sprain",lower back sprain,lumbosacral sprain,,,,low back sprain,,,,,,,lower back sprain (lumbosacral sprain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
lower back strain (lumbosacral strain),,"lower back strain |
lumbosacral strain",lower back strain,lumbosacral strain,,,,low back strain,lumbar strain,,,,,,lower back strain (lumbosacral strain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
lumbar spinal stenosis (narrowing of spinal canal in lower back),,"lumbar spinal stenosis |
narrowing of spinal canal in lower back",lumbar spinal stenosis,narrowing of spinal canal in lower back,,,,,,,,,,,lumbar spinal stenosis (narrowing of spinal canal in lower back),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5238,spinal stenosis,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
lung cancer,,,,,,,,cancer - lung,,,,,,,lung cancer,,,,,,1230,Cancer - Respiratory,6819,malignant growths of the respiratory system,DBQ RESP Respiratory Conditions (Other than Tuberculosis and Sleep Apnea),yes,Active,Active,v1.0,,,,,,
lupus,,,,,,,,discoid lupus,erythematosus lupus,"lupus, discoid","lupus, systemic",systemic lupus,,,lupus,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6350,systemic lupus erythematosus,"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,
Lyme disease,,,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,v1.0,,,,,
lymphatic filariasis,,,,,,,,filariasis,,,,,,,lymphatic filariasis,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6305,lymphatic filariasis,"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,
malaria,,,,,,,,blackwater fever,,,,,,,malaria,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6304,malaria,"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,
malignant tumor in spinal cord,,,,,,,,,,,,,,,malignant tumor in spinal cord,,,,,,8942,Cancer - Neurological other System,8021,malignant growth of the spinal cord,DBQ NEURO Central Nervous System and Neuromuscular Diseases,yes,Active,Active,v1.1,,,,,,
mallet finger,"left, right, bilateral",,,,,,,,,,,,,,"mallet finger, right","mallet finger, left","mallet finger, bilateral",,,,8995,Musculoskeletal - Hand,Multiple,Hand and Finger DC Group,DBQ MUSC Hand and Finger,no,Active,Active,v1.0,,,,,,
manic-depressive reaction,,,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
melanoma of the skin,,malignant melanoma,malignant melanoma,,,,,,,,,,,,melanoma of the skin,,,,,,1250,Cancer - Skin,7833,malignant melanoma,DBQ DERM Skin Diseases,yes,Active,Active,v1.1,,,,,,v1.3 Synonym added 2/2/2026
Meniere's disease,,"Meniere's |
Menieres disease |
Menieres",,,,,,,,,,,,,Meniere's disease,,,,,,8969,Ear Disease and Other Sense Organs,6205,Meniere's syndrome,DBQ ENT Ear (Including Vestibular and Infectious),no,Active,Active,v1.0,,,v1.3,,,v1.3 Synonyms added 3/30/26
meniscectomy (removal of meniscus),"left, right, bilateral","meniscectomy |
removal of meniscus |
cartilage, semilunar, removal",meniscectomy,removal of meniscus,"cartilage, semilunar, removal",,,,,,,,,,"meniscectomy (removal of meniscus), right","meniscectomy (removal of meniscus), left","meniscectomy (removal of meniscus), bilateral",,,,8997,Musculoskeletal - Knee,5259,removal of semilunar cartilage - knee,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,v1.2,,,
meniscus tear,"left, right, bilateral","meniscus, dislocated |
cartilage, semilunar, dislocated |
meniscus rupture |
meniscus injury","meniscus, dislocated","cartilage, semilunar, dislocated",meniscus rupture,meniscus injury,,,,,,,,,"meniscus tear, right","meniscus tear, left","meniscus tear, bilateral",,,,8997,Musculoskeletal - Knee,5258,dislocated semilunar cartilage - knee,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,v1.2,,,
menstrual disorders,,,,,,,,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,v1.0,,,,,
Mental Disorders,,,,,,,,mental disorder,mental disease,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
mesotheliomas of peritoneum,,,,,,,,,,,,,,,,,,,,,8932,Cancer - Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
metatarsalgia (pain in ball of foot),"left, right, bilateral","metatarsalgia |
pain in ball of foot",metatarsalgia,pain in ball of foot,,,,,,,,,,,"metatarsalgia (pain in ball of foot), right","metatarsalgia (pain in ball of foot), left","metatarsalgia (pain in ball of foot), bilateral",,,,8994,Musculoskeletal - Foot,5279,metatarsalgia (foot pain) or Morton's disease,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
middle back sprain (thoracic sprain),,"middle back sprain |
thoracic sprain",middle back sprain,thoracic sprain,,,,,,,,,,,middle back sprain (thoracic sprain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
middle back strain (thoracic strain),,"middle back strain |
thoracic strain",middle back strain,thoracic strain,,,,,,,,,,,middle back strain (thoracic strain),,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),5237,lumbosacral or cervical strain,DBQ MUSC Back (thoracolumbar spine),no,Active,Active,v1.0,,,,,,
migraines (headaches),,"migraines |
migraine |
headache |
headaches",migraines,migraine,headache,headaches,,headaches,migraine,,,,,,migraines (headaches),,,,,,9007,Neurological other System,8100,migraine,DBQ NEURO Headaches (Including Migraines),no,Active,Active,v1.0,,,,,,
mitral regurgitation,,,,,,,,,,,,,,,mitral regurgitation,,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
mitral valve prolapse (Barlow syndrome),,"mitral valve prolapse |
Barlow syndrome",mitral valve prolapse,Barlow syndrome,,,,abnormal mitral valve,,,,,,,mitral valve prolapse (Barlow syndrome),,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,
Morton's neuroma,"left, right, bilateral",,,,,,,Morton's disease,,,,,,,"Morton's neuroma, right","Morton's neuroma, left","Morton's neuroma, bilateral",,,,8994,Musculoskeletal - Foot,5279,metatarsalgia (foot pain) or Morton's disease,DBQ MUSC Foot Conditions including flatfoot (pes planus),no,Active,Active,v1.0,,,,,,
multiple myeloma,"head or neck, extremities or trunk",,,,,,,myeloma,"myeloma, multiple",,,,,,"multiple myeloma, head or neck","multiple myeloma, extremities or trunk",,,,,8939,Cancer - Hemic and Lymphatic,7712,multiple myeloma,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia","yes, if head or neck",Active,Active,v1.1,,,,,,
multiple sclerosis (MS),,"multiple sclerosis |
MS",multiple sclerosis,MS,,,,multiple sclerosis,,,,,,,multiple sclerosis (MS),,,,,,9007,Neurological other System,8018,multiple sclerosis,DBQ NEURO Multiple Sclerosis (MS),no,Active,Active,v1.0,,,,,,
muscle hernia,,,,,,,,,,,,,,,muscle hernia,,,,,,9005,Musculoskeletal and Muscle Injuries,5326,muscle hernia,DBQ MUSC Muscle Injuries,no,Active,Active,v1.0,,,,,,
Musculoskeletal - Amputations,,,,,,,,,,,,,,,,,,,,,8990,Musculoskeletal - Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Ankle,"left, right, bilateral",,,,,,,ankle condition,,,,,,,"ankle condition, right","ankle condition, left","ankle condition, bilateral",,,,8991,Musculoskeletal - Ankle,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Arthritis,,,,,,,,,,,,,,,,,,,,,8992,Musculoskeletal - Arthritis,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Bones,,,,,,,,,,,,,,,,,,,,,249482,Musculoskeletal - Bones,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Elbow,"left, right, bilateral",,,,,,,,,,,,,,"elbow condition, bilateral","elbow condition, left","elbow condition, right",,,,8993,Musculoskeletal - Elbow,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Foot,"left, right, bilateral",,,,,,,,,,,,,,"foot condition, bilateral","foot condition, left","foot condition, right",foot pain,,,8994,Musculoskeletal - Foot,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Hand,"left, right, bilateral",,,,,,,,,,,,,,"hand condition, bilateral","hand condition, left","hand condition, right",,,,8995,Musculoskeletal - Hand,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Hip,"left, right, bilateral",,,,,,,,,,,,,,"hip condition, bilateral","hip condition, left","hip condition, right",,,,8996,Musculoskeletal - Hip,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Knee,"left, right, bilateral",,,,,,,,,,,,,,"knee condition, bilateral","knee condition, left","knee condition, right",,,,8997,Musculoskeletal - Knee,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,,,,,,,,,,,,,,,,,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,,,,,,,,,,,,,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Other,,,,,,,,,,,,,,,,,,,,,9001,Musculoskeletal - Other,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Shoulder,"left, right, bilateral",,,,,,,clavicle,scapula,,,,,,"shoulder condition, bilateral","shoulder condition, left","shoulder condition, right",,,,9002,Musculoskeletal - Shoulder,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Toe Amputations,,,,,,,,amputation - toe (toes),,,,,,,,,,,,,9003,Musculoskeletal - Toe Amputations,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal - Wrist,"left, right, bilateral",,,,,,,,,,,,,,"wrist condition, bilateral","wrist condition, left","wrist condition, right",,,,9004,Musculoskeletal - Wrist,,,,,Inactive,Active,v0.1,v1.0,,,,,
Musculoskeletal and Muscle Injuries,,,,,,,,muscle injury,,,,,,,,,,,,,9005,Musculoskeletal and Muscle Injuries,,,,,Inactive,Active,v0.1,v1.0,,,,,
myasthenia gravis,,,,,,,,,,,,,,,myasthenia gravis,,,,,,9007,Neurological other System,8025,myasthenia gravis,DBQ NEURO Central Nervous System and Neuromuscular Diseases,no,Active,Active,v1.0,,,,,,
myelitis (a spinal cord condition),,myelitis,myelitis,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
nasopharyngeal cancer,,,,,,,,,,,,,,,nasopharyngeal cancer,,,,,,1230,Cancer - Respiratory,Multiple,Oral and Respiratory Cancer DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,
"neck pain or stiffness, diagnosis unknown",,"neck pain |
neck stiffness",,,,,,,,,,,,,"neck pain or stiffness, diagnosis unknown",,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),Multiple,musculoskeletal: spine group,DBQ MUSC Neck (cervical spine) ,no,Active,Active,v1.3,,,,,,
neck sprain (cervical sprain),,"neck sprain |
cervical sprain",neck sprain,cervical sprain,,,,,,,,,,,neck sprain (cervical sprain),,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5237,lumbosacral or cervical strain,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,
neck strain (cervical strain),,"neck strain |
cervical strain",neck strain,cervical strain,,,,cervical strain,,,,,,,neck strain (cervical strain),,,,,,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),5237,lumbosacral or cervical strain,DBQ MUSC Neck (cervical spine),no,Active,Active,v1.0,,,,,,
nerve-related soft-tissue sarcoma,"head or neck, extremities or trunk",,,,,,,,,,,,,,"nerve-related soft-tissue sarcoma, head or neck","nerve-related soft-tissue sarcoma, extremities or trunk",,,,,8942,Cancer - Neurological other System,8540,soft tissue sarcoma (neurogenic origin),DBQ NEURO Central Nervous System and Neuromuscular Diseases,"yes, if head or neck",Active,Active,v1.1,,,,,,
neurogenic bladder,,,,,,,,,,,,,,,neurogenic bladder,,,,,,8975,Genitourinary,7542,neurogenic bladder,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,
Neurological - Cranial/Peripheral Nerves,,,,,,,,"neuropathy, peripheral",,,,,,,,,,,,,9006,Neurological - Cranial/Peripheral Nerves,,,,,Inactive,Active,v0.1,v1.0,,,,,
Neurological other System,,,,,,,,,,,,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
non-diabetic peripheral neuropathy,"right lower extremities, right upper extremities, left lower extremities, left upper extremities, bilateral lower extremities, bilateral upper extremities",,,,,,,,,,,,,,"non-diabetic peripheral neuropathy, right lower extremities","non-diabetic peripheral neuropathy, right upper extremities","non-diabetic peripheral neuropathy, left lower extremities","non-diabetic peripheral neuropathy, left upper extremities","non-diabetic peripheral neuropathy, bilateral lower extremities","non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,Multiple,Peripheral Nerves DC Group,DBQ NEURO Peripheral Nerves,no,Active,Active,v1.0,,,,,,
non-Hodgkin lymphoma,,"non-Hodgkin's lymphoma |
non-Hodgkins lymphona |
B-cell lymphoma |
T-cell lymphoma",non-Hodgkin's lymphoma,B-cell lymphoma,T-cell lymphoma,,,Lymphoma - except Hodgkin's disease,Non-Hodgkin's lymphoma (NHL),lymphosarcoma,,,,,non-Hodgkin lymphoma,,,,,,8939,Cancer - Hemic and Lymphatic,7715,non-Hodgkin's lymphoma,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,v1.2,,,
obsessive compulsive disorder (OCD),,"obsessive compulsive disorder |
OCD",obsessive compulsive disorder,OCD,,,,,,,,,,,obsessive compulsive disorder (OCD),,,,,,8989,Mental Disorders,9404,obsessive compulsive disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,
onychomycosis (toenail fungus),,"onychomycosis |
toe fungus |
toe nail fungus |
nail fungus",,,,,,,,,,,,,onychomycosis (toenail fungus),,,,,,9013,Scars (Extremities and Trunk),Multiple,No Match,DBQ DERM Scars Disfigurement,no,Active,Active,v1.3,,,,,,
oral cavity squamous cell carcinoma,,,,,,,,,,,,,,,oral cavity squamous cell carcinoma,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",DBQ DENTAL Oral and Dental,yes,Active,Active,v1.1,,,,,,
orchitis (inflammation of testicles),,"orchitis |
inflammation of testicles",orchitis,inflammation of testicles,,,,,,,,,,,orchitis (inflammation of testicles),,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,
oropharyngeal cancer,,,,,,,,,,,,,,,oropharyngeal cancer,,,,,,1230,Cancer - Respiratory,Multiple,Oral and Respiratory Cancer DC Group,"DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx",yes,Active,Active,v1.0,,,,,,"per DBQ index, required DBQ could be DENTAL Oral and Dental Conditions. But DBQ ENT Sinusitis, Rhinitis and Other Conditions of the Nose, Throat, Larynx and Pharynx, more specifically calls out the pharynx"
osteomyelitis,,,,,,,,Musculoskeletal - Osteomyelitis,,,,,,,osteomyelitis,,,,,,9000,Musculoskeletal - Osteomyelitis,5000,osteomyelitis,DBQ MUSC Osteomyelitis,no,Active,Active,v1.0,,,,,,
otosclerosis,,,,,,,,,,,,,,,,,,,,,3140,Hearing Loss,,,,,Inactive,Active,v0.1,v1.0,,,,,
ovarian adhesions,,,,,,,,,,,,,,,ovarian adhesions,,,,,,8921,Adhesions - Gynecological,7615,disease or injury of the ovary,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,
ovarian cancer,"left, right, bilateral",,,,,,,cancer - ovarian,,,,,,,"ovarian cancer, right","ovarian cancer, left","ovarian cancer, bilateral",,,,8937,Cancer - Gynecological,7627,malignant growths of gynecological system,DBQ GYN Gynecological,yes,Active,Active,v1.1,,,,,,
ovarian cysts,,,,,,,,,,,,,,,ovarian cysts,,,,,,8951,Cyst/Benign Growth - Gynecological,7615,disease or injury of the ovary,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,
ovariectomy (removal of one or both ovaries),,"ovariectomy |
removal of one ovary |
removal of both ovaries |
removal of ovaries",ovariectomy,removal of one ovary,removal of both ovaries,removal of ovaries,,ovary (removal of),,,,,,,ovariectomy (removal of one or both ovaries),,,,,,8978,Gynecological,7619,removal of ovary,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,
palsy,,,,,,,,Bell's palsy,bulbar palsy,"palsy, bulbar",,,,,,,,,,,9007,Neurological other System,,,,,Inactive,Active,v0.1,v1.0,,,,,
pancreatic cancer,,,,,,,,cancer - pancreas,,,,,,,pancreatic cancer,,,,,,8932,Cancer - Digestive,7343,malignant growths of digestive system,DBQ GI Gallbladder & Pancreas,yes,Active,Active,v1.0,,,,,,
pancreatitis,,,,,,,,,,,,,,,,,,,,,8968,Digestive,,,,,Inactive,Active,v0.1,v1.0,,,,,
panic disorder,,"panic attack |
panic attacks",,,,,,,,,,,,,panic disorder,,,,,,8989,Mental Disorders,9412,panic disorder and/or agoraphobia,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,v1.3,,,
paranasal sinus or nasal cavity cancer,,"paranasal sinus cancer |
nasal cavity cancer",paranasal sinus cancer,nasal cavity cancer,,,,paranasal sinus and nasal cavity cancer,,,,,,,paranasal sinus or nasal cavity cancer,,,,,,8931,Cancer - Dental and Oral,9918,"neoplasm, hard and soft tissue, malignant (oral)",Active,yes,Active,Active,v1.1,,v1.2,,"v1.2 Updated term to replace ""and"" with ""or""",,
paranoid reaction,,,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,v1.0,,,,,
parathyroid adenoma,,,,,,,,,,,,,,,,,,,,,8973,Endocrine,,,,,Inactive,Active,v0.1,v1.0,,,,,
Parkinson's disease,,Parkinsons disease,,,,,,,,,,,,,Parkinson's disease,,,,,,9007,Neurological other System,8004,Parkinson's disease,DBQ NEURO Parkinson's Disease,no,Active,Active,v1.0,,,v1.3,,,"v1.3 Added synonym ""Parkinsons"""
patellar or quadriceps tendon rupture,"left, right, bilateral","patellar tendon rupture |
quadriceps tendon rupture",patellar tendon rupture,quadriceps tendon rupture,,,,,,,,,,,"patellar or quadriceps tendon rupture, right","patellar or quadriceps tendon rupture, left","patellar or quadriceps tendon rupture, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
patellofemoral pain syndrome,"left, right, bilateral",,,,,,,,,,,,,,"patellofemoral pain syndrome, right","patellofemoral pain syndrome, left","patellofemoral pain syndrome, bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
PCL tear (posterior cruciate ligament tear),"left, right, bilateral","PCL |
PCL tear |
posterior cruciate ligament tear",PCL,PCL tear,posterior cruciate ligament tear,,,,,,,,,,"PCL tear (posterior cruciate ligament tear), right","PCL tear (posterior cruciate ligament tear), left","PCL tear (posterior cruciate ligament tear), bilateral",,,,8997,Musculoskeletal - Knee,Multiple,Knee and Leg DC Group,DBQ MUSC Knee and lower leg,no,Active,Active,v1.0,,,,,,
penile cancer,,,,,,,,,,,,,,,penile cancer,,,,,,8935,Cancer - Genitourinary,7528,malignant growths of genitourinary system,DBQ GU Male Reproductive Organ,yes,Active,Active,v1.0,,,,,,
Pension,,,,,,,,,,,,,,,,,,,,,9008,Pension,,,,,Inactive,Active,v0.1,v1.0,,,,,
Pension - Aid and Attendance/Housebound,,,,,,,,,,,,,,,,,,,,,9009,Pension - Aid and Attendance/Housebound,,,,,Inactive,Active,v0.1,v1.0,,,,,
